distance,time,traffic,night,fare
4,35,1,1,175
4,40,0,0,160
4,40,0,1,170
4,40,1,0,175
4,40,1,1,185
4,45,0,0,170
4,45,0,1,180
4,45,1,0,185
4,45,1,1,195
4,50,0,0,180
4,50,0,1,190
4,50,1,0,195
4,50,1,1,205
4,55,0,0,190
4,55,0,1,200
4,55,1,0,205
4,55,1,1,215
4,60,0,0,200
4,60,0,1,210
4,60,1,0,215
4,60,1,1,225
5,5,0,0,110
5,5,0,1,120
5,5,1,0,125
5,5,1,1,135
5,10,0,0,120
5,10,0,1,130
5,10,1,0,135
5,10,1,1,145
5,15,0,0,130
5,15,0,1,140
5,15,1,0,145
5,15,1,1,155
5,20,0,0,140
5,20,0,1,150
5,20,1,0,155
5,20,1,1,165
5,25,0,0,150
5,25,0,1,160
5,25,1,0,165
5,25,1,1,175
5,30,0,0,160
5,30,0,1,170
5,30,1,0,175
5,30,1,1,185
5,35,0,0,170
5,35,0,1,180
5,35,1,0,185
5,35,1,1,195
5,40,0,0,180
5,40,0,1,190
5,40,1,0,195
5,40,1,1,205
5,45,0,0,190
5,45,0,1,200
5,45,1,0,205
5,45,1,1,215
5,50,0,0,200
5,50,0,1,210
5,50,1,0,215
5,50,1,1,225
5,55,0,0,210
5,55,0,1,220
5,55,1,0,225
5,55,1,1,235
5,60,0,0,220
5,60,0,1,230
5,60,1,0,235
5,60,1,1,245
6,5,0,0,130
6,5,0,1,140
6,5,1,0,145
6,5,1,1,155
6,10,0,0,140
6,10,0,1,150
6,10,1,0,155
6,10,1,1,165
6,15,0,0,150
6,15,0,1,160
6,15,1,0,165
6,15,1,1,175
6,20,0,0,160
6,20,0,1,170
6,20,1,0,175
6,20,1,1,185
6,25,0,0,170
6,25,0,1,180
6,25,1,0,185
6,25,1,1,195
6,30,0,0,180
6,30,0,1,190
6,30,1,0,195
6,30,1,1,205
6,35,0,0,190
6,35,0,1,200
6,35,1,0,205
6,35,1,1,215
6,40,0,0,200
6,40,0,1,210
6,40,1,0,215
6,40,1,1,225
6,45,0,0,210
6,45,0,1,220
6,45,1,0,225
6,45,1,1,235
6,50,0,0,220
6,50,0,1,230
6,50,1,0,235
6,50,1,1,245
6,55,0,0,230
6,55,0,1,240
6,55,1,0,245
6,55,1,1,255
6,60,0,0,240
6,60,0,1,250
6,60,1,0,255
6,60,1,1,265
7,5,0,0,150
7,5,0,1,160
7,5,1,0,165
7,5,1,1,175
7,10,0,0,160
7,10,0,1,170
7,10,1,0,175
7,10,1,1,185
7,15,0,0,170
7,15,0,1,180
7,15,1,0,185
7,15,1,1,195
7,20,0,0,180
7,20,0,1,190
7,20,1,0,195
7,20,1,1,205
7,25,0,0,190
7,25,0,1,200
7,25,1,0,205
7,25,1,1,215
7,30,0,0,200
7,30,0,1,210
7,30,1,0,215
7,30,1,1,225
7,35,0,0,210
7,35,0,1,220
7,35,1,0,225
7,35,1,1,235
7,40,0,0,220
7,40,0,1,230
7,40,1,0,235
7,40,1,1,245
7,45,0,0,230
7,45,0,1,240
7,45,1,0,245
7,45,1,1,255
7,50,0,0,240
7,50,0,1,250
7,50,1,0,255
7,50,1,1,265
7,55,0,0,250
7,55,0,1,260
7,55,1,0,265
7,55,1,1,275
7,60,0,0,260
7,60,0,1,270
7,60,1,0,275
7,60,1,1,285
8,5,0,0,170
8,5,0,1,180
8,5,1,0,185
8,5,1,1,195
8,10,0,0,180
8,10,0,1,190
8,10,1,0,195
8,10,1,1,205
8,15,0,0,190
8,15,0,1,200
8,15,1,0,205
8,15,1,1,215
8,20,0,0,200
8,20,0,1,210
8,20,1,0,215
8,20,1,1,225
8,25,0,0,210
8,25,0,1,220
8,25,1,0,225
8,25,1,1,235
8,30,0,0,220
8,30,0,1,230
8,30,1,0,235
8,30,1,1,245
8,35,0,0,230
8,35,0,1,240
8,35,1,0,245
8,35,1,1,255
8,40,0,0,240
8,40,0,1,250
8,40,1,0,255
8,40,1,1,265
8,45,0,0,250
8,45,0,1,260
8,45,1,0,265
8,45,1,1,275
8,50,0,0,260
8,50,0,1,270
8,50,1,0,275
8,50,1,1,285
8,55,0,0,270
8,55,0,1,280
8,55,1,0,285
8,55,1,1,295
8,60,0,0,280
8,60,0,1,290
8,60,1,0,295
8,60,1,1,305
9,5,0,0,190
9,5,0,1,200
9,5,1,0,205
9,5,1,1,215
9,10,0,0,200
9,10,0,1,210
9,10,1,0,215
9,10,1,1,225
9,15,0,0,210
9,15,0,1,220
9,15,1,0,225
9,15,1,1,235
9,20,0,0,220
9,20,0,1,230
9,20,1,0,235
9,20,1,1,245
9,25,0,0,230
9,25,0,1,240
9,25,1,0,245
9,25,1,1,255
9,30,0,0,240
9,30,0,1,250
9,30,1,0,255
9,30,1,1,265
9,35,0,0,250
9,35,0,1,260
9,35,1,0,265
9,35,1,1,275
9,40,0,0,260
9,40,0,1,270
9,40,1,0,275
9,40,1,1,285
9,45,0,0,270
9,45,0,1,280
9,45,1,0,285
9,45,1,1,295
9,50,0,0,280
9,50,0,1,290
9,50,1,0,295
9,50,1,1,305
9,55,0,0,290
9,55,0,1,300
9,55,1,0,305
9,55,1,1,315
9,60,0,0,300
9,60,0,1,310
9,60,1,0,315
9,60,1,1,325
10,5,0,0,210
10,5,0,1,220
10,5,1,0,225
10,5,1,1,235
10,10,0,0,220
10,10,0,1,230
10,10,1,0,235
10,10,1,1,245
10,15,0,0,230
10,15,0,1,240
10,15,1,0,245
10,15,1,1,255
10,20,0,0,240
10,20,0,1,250
10,20,1,0,255
10,20,1,1,265
10,25,0,0,250
10,25,0,1,260
10,25,1,0,265
10,25,1,1,275
10,30,0,0,260
10,30,0,1,270
10,30,1,0,275
10,30,1,1,285
10,35,0,0,270
10,35,0,1,280
10,35,1,0,285
10,35,1,1,295
10,40,0,0,280
10,40,0,1,290
10,40,1,0,295
10,40,1,1,305
10,45,0,0,290
10,45,0,1,300
10,45,1,0,305
10,45,1,1,315
10,50,0,0,300
10,50,0,1,310
10,50,1,0,315
10,50,1,1,325
10,55,0,0,310
10,55,0,1,320
10,55,1,0,325
10,55,1,1,335
10,60,0,0,320
10,60,0,1,330
10,60,1,0,335
10,60,1,1,345
11,5,0,0,230
11,5,0,1,240
11,5,1,0,245
11,5,1,1,255
11,10,0,0,240
11,10,0,1,250
11,10,1,0,255
11,10,1,1,265
11,15,0,0,250
11,15,0,1,260
11,15,1,0,265
11,15,1,1,275
11,20,0,0,260
11,20,0,1,270
11,20,1,0,275
11,20,1,1,285
11,25,0,0,270
11,25,0,1,280
11,25,1,0,285
11,25,1,1,295
11,30,0,0,280
11,30,0,1,290
11,30,1,0,295
11,30,1,1,305
11,35,0,0,290
11,35,0,1,300
11,35,1,0,305
11,35,1,1,315
11,40,0,0,300
11,40,0,1,310
11,40,1,0,315
11,40,1,1,325
11,45,0,0,310
11,45,0,1,320
11,45,1,0,325
11,45,1,1,335
11,50,0,0,320
11,50,0,1,330
11,50,1,0,335
11,50,1,1,345
11,55,0,0,330
11,55,0,1,340
11,55,1,0,345
11,55,1,1,355
11,60,0,0,340
11,60,0,1,350
11,60,1,0,355
11,60,1,1,365
12,5,0,0,250
12,5,0,1,260
12,5,1,0,265
12,5,1,1,275
12,10,0,0,260
12,10,0,1,270
12,10,1,0,275
12,10,1,1,285
12,15,0,0,270
12,15,0,1,280
12,15,1,0,285
12,15,1,1,295
12,20,0,0,280
12,20,0,1,290
12,20,1,0,295
12,20,1,1,305
12,25,0,0,290
12,25,0,1,300
12,25,1,0,305
12,25,1,1,315
12,30,0,0,300
12,30,0,1,310
12,30,1,0,315
12,30,1,1,325
12,35,0,0,310
12,35,0,1,320
12,35,1,0,325
12,35,1,1,335
12,40,0,0,320
12,40,0,1,330
12,40,1,0,335
12,40,1,1,345
12,45,0,0,330
12,45,0,1,340
12,45,1,0,345
12,45,1,1,355
12,50,0,0,340
12,50,0,1,350
12,50,1,0,355
12,50,1,1,365
12,55,0,0,350
12,55,0,1,360
12,55,1,0,365
12,55,1,1,375
12,60,0,0,360
12,60,0,1,370
12,60,1,0,375
12,60,1,1,385
13,5,0,0,270
13,5,0,1,280
13,5,1,0,285
13,5,1,1,295
13,10,0,0,280
13,10,0,1,290
13,10,1,0,295
13,10,1,1,305
13,15,0,0,290
13,15,0,1,300
13,15,1,0,305
13,15,1,1,315
13,20,0,0,300
13,20,0,1,310
13,20,1,0,315
13,20,1,1,325
13,25,0,0,310
13,25,0,1,320
13,25,1,0,325
13,25,1,1,335
13,30,0,0,320
13,30,0,1,330
13,30,1,0,335
13,30,1,1,345
13,35,0,0,330
13,35,0,1,340
13,35,1,0,345
13,35,1,1,355
13,40,0,0,340
13,40,0,1,350
13,40,1,0,355
13,40,1,1,365
13,45,0,0,350
13,45,0,1,360
13,45,1,0,365
13,45,1,1,375
13,50,0,0,360
13,50,0,1,370
13,50,1,0,375
13,50,1,1,385
13,55,0,0,370
13,55,0,1,380
13,55,1,0,385
13,55,1,1,395
13,60,0,0,380
13,60,0,1,390
13,60,1,0,395
13,60,1,1,405
14,5,0,0,290
14,5,0,1,300
14,5,1,0,305
14,5,1,1,315
14,10,0,0,300
14,10,0,1,310
14,10,1,0,315
14,10,1,1,325
14,15,0,0,310
14,15,0,1,320
14,15,1,0,325
14,15,1,1,335
14,20,0,0,320
14,20,0,1,330
14,20,1,0,335
14,20,1,1,345
14,25,0,0,330
14,25,0,1,340
14,25,1,0,345
14,25,1,1,355
14,30,0,0,340
14,30,0,1,350
14,30,1,0,355
14,30,1,1,365
14,35,0,0,350
14,35,0,1,360
14,35,1,0,365
14,35,1,1,375
14,40,0,0,360
14,40,0,1,370
14,40,1,0,375
14,40,1,1,385
14,45,0,0,370
14,45,0,1,380
14,45,1,0,385
14,45,1,1,395
14,50,0,0,380
14,50,0,1,390
14,50,1,0,395
14,50,1,1,405
14,55,0,0,390
14,55,0,1,400
14,55,1,0,405
14,55,1,1,415
14,60,0,0,400
14,60,0,1,410
14,60,1,0,415
14,60,1,1,425
15,5,0,0,310
15,5,0,1,320
15,5,1,0,325
15,5,1,1,335
15,10,0,0,320
15,10,0,1,330
15,10,1,0,335
15,10,1,1,345
15,15,0,0,330
15,15,0,1,340
15,15,1,0,345
15,15,1,1,355
15,20,0,0,340
15,20,0,1,350
15,20,1,0,355
15,20,1,1,365
15,25,0,0,350
15,25,0,1,360
15,25,1,0,365
15,25,1,1,375
15,30,0,0,360
15,30,0,1,370
15,30,1,0,375
15,30,1,1,385
15,35,0,0,370
15,35,0,1,380
15,35,1,0,385
15,35,1,1,395
15,40,0,0,380
15,40,0,1,390
15,40,1,0,395
15,40,1,1,405
15,45,0,0,390
15,45,0,1,400
15,45,1,0,405
15,45,1,1,415
15,50,0,0,400
15,50,0,1,410
15,50,1,0,415
15,50,1,1,425
15,55,0,0,410
15,55,0,1,420
15,55,1,0,425
15,55,1,1,435
15,60,0,0,420
15,60,0,1,430
15,60,1,0,435
15,60,1,1,445
16,5,0,0,330
16,5,0,1,340
16,5,1,0,345
16,5,1,1,355
16,10,0,0,340
16,10,0,1,350
16,10,1,0,355
16,10,1,1,365
16,15,0,0,350
16,15,0,1,360
16,15,1,0,365
16,15,1,1,375
16,20,0,0,360
16,20,0,1,370
16,20,1,0,375
16,20,1,1,385
16,25,0,0,370
16,25,0,1,380
16,25,1,0,385
16,25,1,1,395
16,30,0,0,380
16,30,0,1,390
16,30,1,0,395
16,30,1,1,405
16,35,0,0,390
16,35,0,1,400
16,35,1,0,405
16,35,1,1,415
16,40,0,0,400
16,40,0,1,410
16,40,1,0,415
16,40,1,1,425
16,45,0,0,410
16,45,0,1,420
16,45,1,0,425
16,45,1,1,435
16,50,0,0,420
16,50,0,1,430
16,50,1,0,435
16,50,1,1,445
16,55,0,0,430
16,55,0,1,440
16,55,1,0,445
16,55,1,1,455
16,60,0,0,440
16,60,0,1,450
16,60,1,0,455
16,60,1,1,465
17,5,0,0,350
17,5,0,1,360
17,5,1,0,365
17,5,1,1,375
17,10,0,0,360
17,10,0,1,370
17,10,1,0,375
17,10,1,1,385
17,15,0,0,370
17,15,0,1,380
17,15,1,0,385
17,15,1,1,395
17,20,0,0,380
17,20,0,1,390
17,20,1,0,395
17,20,1,1,405
17,25,0,0,390
17,25,0,1,400
17,25,1,0,405
17,25,1,1,415
17,30,0,0,400
17,30,0,1,410
17,30,1,0,415
17,30,1,1,425
17,35,0,0,410
17,35,0,1,420
17,35,1,0,425
17,35,1,1,435
17,40,0,0,420
17,40,0,1,430
17,40,1,0,435
17,40,1,1,445
17,45,0,0,430
17,45,0,1,440
17,45,1,0,445
17,45,1,1,455
17,50,0,0,440
17,50,0,1,450
17,50,1,0,455
17,50,1,1,465
17,55,0,0,450
17,55,0,1,460
17,55,1,0,465
17,55,1,1,475
17,60,0,0,460
17,60,0,1,470
17,60,1,0,475
17,60,1,1,485
18,5,0,0,370
18,5,0,1,380
18,5,1,0,385
18,5,1,1,395
18,10,0,0,380
18,10,0,1,390
18,10,1,0,395
18,10,1,1,405
18,15,0,0,390
18,15,0,1,400
18,15,1,0,405
18,15,1,1,415
18,20,0,0,400
18,20,0,1,410
18,20,1,0,415
18,20,1,1,425
18,25,0,0,410
18,25,0,1,420
18,25,1,0,425
18,25,1,1,435
18,30,0,0,420
18,30,0,1,430
18,30,1,0,435
18,30,1,1,445
18,35,0,0,430
18,35,0,1,440
18,35,1,0,445
18,35,1,1,455
18,40,0,0,440
18,40,0,1,450
18,40,1,0,455
18,40,1,1,465
18,45,0,0,450
18,45,0,1,460
18,45,1,0,465
18,45,1,1,475
18,50,0,0,460
18,50,0,1,470
18,50,1,0,475
18,50,1,1,485
18,55,0,0,470
18,55,0,1,480
18,55,1,0,485
18,55,1,1,495
18,60,0,0,480
18,60,0,1,490
18,60,1,0,495
18,60,1,1,505
19,5,0,0,390
19,5,0,1,400
19,5,1,0,405
19,5,1,1,415
19,10,0,0,400
19,10,0,1,410
19,10,1,0,415
19,10,1,1,425
19,15,0,0,410
19,15,0,1,420
19,15,1,0,425
19,15,1,1,435
19,20,0,0,420
19,20,0,1,430
19,20,1,0,435
19,20,1,1,445
19,25,0,0,430
19,25,0,1,440
19,25,1,0,445
19,25,1,1,455
19,30,0,0,440
19,30,0,1,450
19,30,1,0,455
19,30,1,1,465
19,35,0,0,450
19,35,0,1,460
19,35,1,0,465
19,35,1,1,475
19,40,0,0,460
19,40,0,1,470
19,40,1,0,475
19,40,1,1,485
19,45,0,0,470
19,45,0,1,480
19,45,1,0,485
19,45,1,1,495
19,50,0,0,480
19,50,0,1,490
19,50,1,0,495
19,50,1,1,505
19,55,0,0,490
19,55,0,1,500
19,55,1,0,505
19,55,1,1,515
19,60,0,0,500
19,60,0,1,510
19,60,1,0,515
19,60,1,1,525
20,5,0,0,410
20,5,0,1,420
20,5,1,0,425
20,5,1,1,435
20,10,0,0,420
20,10,0,1,430
20,10,1,0,435
20,10,1,1,445
20,15,0,0,430
20,15,0,1,440
20,15,1,0,445
20,15,1,1,455
20,20,0,0,440
20,20,0,1,450
20,20,1,0,455
20,20,1,1,465
20,25,0,0,450
20,25,0,1,460
20,25,1,0,465
20,25,1,1,475
20,30,0,0,460
20,30,0,1,470
20,30,1,0,475
20,30,1,1,485
20,35,0,0,470
20,35,0,1,480
20,35,1,0,485
20,35,1,1,495
20,40,0,0,480
20,40,0,1,490
20,40,1,0,495
20,40,1,1,505
20,45,0,0,490
20,45,0,1,500
20,45,1,0,505
20,45,1,1,515
20,50,0,0,500
20,50,0,1,510
20,50,1,0,515
20,50,1,1,525
20,55,0,0,510
20,55,0,1,520
20,55,1,0,525
20,55,1,1,535
20,60,0,0,520
20,60,0,1,530
20,60,1,0,535
20,60,1,1,545
